category,text,encoded_category
sport,robertson out to retain euro lure hearts manager john robertson hopes a place in the knock-out stages of the uefa cup could help keep some of his out-of-contract players at the club.   it could help. if we get through and have another european tie it may encourage players to stay at least until the end of the season   he said.  if we manage to get through it shows how well the club s progressing.  they have to think whether they are going to get other clubs like that should they decide to move on.  a win for robertson s side against ferencvaros would put them through to the last 32 if basle fail to beat feyenoord.  it s very much the player s prerogative but the fact that we ve been playing european football for the last three or four years is obviously an incentive   added robertson.  but we want players who want to play for the football club  who are committed and a run in europe always helps a little bit.  with the game being played at murrayfield instead of tynecastle because of uefa regulations  robertson sees both positive and negative aspects to the change of venue.   the pitch is not in the greatest condition. the heineken cup game was there at the weekend and the pitch is a bit threadbare   he said.  it s not ideal but it s the same for both teams so we just have to go out and there and perform. that s the most important thing.  but he added:  if tynecastle could have hosted 30 000 it would have been fantastic but that s one of the benefits of murrayfield - it allows us to bring even more of our supporters into it.  there will be a good atmosphere and the hearts fans have an important role to play.  we need their encouragement  we need them to get right behind the side and make it as good an atmosphere as possible.  hopefully the players will respond to that and i know they will because it s a fantastic european night for the club.,3
sport,o driscoll saves irish blushes two moments of magic from brian o driscoll guided ireland to a workmanlike victory against italy.  a pair of classic outside breaks from the ireland captain set up tries for geordan murphy and peter stringer. italy led 9-8 early in the second half but stringer s try gave ireland a lead they never lost. the hosts cut the gap to 18-12 with 10 minutes left and nearly scored through ludovico nitoglia  but denis hickie s try ensured an irish victory. italy came flying out of the blocks and took the lead through a luciano orquera penalty after seven minutes.  it could have been better for the hosts but the fly-half missed two kickable penalties and ireland drew level with a ronan o gara penalty midway through the first half. the italians were driving at the heart of the irish defence and  for the first quarter  the irish pack struggled to secure any ball for their talented backs.  when they finally did  just before the half-hour mark  o driscoll promptly created a sparkling try for murphy. the ireland captain ran a dummy scissors and made a magical outside break before drawing the full-back and putting the diving murphy in at the corner. o gara missed the twice-taken conversion and the visitors found themselves trailing once again. roland de marigny took over the kicking duties for italy from the hapless orquera  and he landed a penalty either side of the break to edge italy into a 9-8 lead.  the only ireland player offering a real threat was o driscoll  and it was his break that set up the second try for the visitors. shane horgan threw an overhead pass as he was about to be forced into touch and stringer scooted over  with o gara landing the tricky conversion. a penalty apiece saw ireland leading 18-12 as the game entered the final quarter  but they were lucky to survive when italy launched a series of attacks. winger nitoglia dropped the ball as he reached for the line and italy nearly rumbled over from a driving maul.  an o gara penalty put ireland more than a converted try ahead and they made the game safe when hickie latched onto an inside pass from murphy and crossed for a converted try. o driscoll limped off late on  joining centre partner gordon d arcy on the sidelines  and the final word went to italy. prop martin castrogiovanni powered over for a try which was fitting reward for an italian pack which had kept the irish under pressure throughout.  de marigny; mi bergamasco  canale  masi  nitoglia; orquera  troncon; lo cicero  ongaro  castrogiovanni; dellape  bortolami; persico  ma bergamasco  parisse.  perugini  intoppa  del fava  dal maso  griffen  pozzebon  robertson.  murphy  horgan  o driscoll  d arcy  hickie  o gara  stringer  corrigan  byrne  hayes  o kelly  o connell  s easterby  leamy  foley.  sheahan  horan  o callaghan  miller  g easterby  humphreys  dempsey.  p o brien (new zealand),3
sport,britain boosted by holmes double athletics fans endured a year of mixed emotions in 2004 as stunning victories went hand-in-hand with disappointing defeats and more drugs scandals.  kelly holmes finally fulfilled her potential by storming to double gold on the track at the olympic games. holmes helped erase the gloom hanging over team gb after their biggest medal hope  paula radcliffe  dropped out of the marathon and then the 10 000m. britain s men s 4x100m relay team also did their bit by taking a shock gold. holmes had started the year in disappointing style  falling over in the final of 1500m at the world indoor championships where she was favourite. her olympic build-up was clouded by self doubt but that proved unfounded as she overhauled rival maria mutola to win the 800m - her first global title. just five days later  the 34-year-old made it double gold in the 1500m. it was the first time in 84 years a briton has achieved the olympic middle-distance double. while holmes left athens as the star of team gb  it was radcliffe who carried expectations before the august games.  the 30-year-old marathon world record holder went into the athens event as favourite but an exhausted radcliffe dropped out after 23 miles in tears. her decision to enter the 10 000m five days later also backfired as she again pulled out with eight laps remaining.  but radcliffe helped put her olympic trauma behind her with a thrilling win in november s new york marathon. the 4x100m team grabbed some last-gasp glory for the british men s olympic squad after a poor start to the games.  it seemed as though athens would be the first games where the men would fail to win a medal with michael east the only individual track finalist in the 1500m. but darren campell  jason gardener  marlon devonish and mark lewis-francis made amends in the sprint relay. the quartet held off favourites the usa to win britain s first relay medal since 1912 in 38.07 seconds. gardener added the olympic relay crown to his world indoor title over 60m and  just like holmes  finally lived up to his promise in 2004. kelly sotherton completed team gb s athletics medal haul in athens with a surprise bronze in the heptathlon. the 28-year-old won her first championship medal since becoming a full-time athlete in 2003.  but it was a different story for britain s defending champion denise lewis  who withdrew on day two of the competition after some poor results. lewis  who was troubled by injury  has ruled out retiring while sotherton is tipped to build on her success. the athens olympics proved to be a landmark occasion for steve backley  who retired from competition after finishing fourth in the javelin. the battling 35-year-old leaves the sport with a vast medal haul including two silvers and one olympic bronze.  and backley s departure was balanced by the return of injury-hit decathlete dean macey  who came fourth in athens.  the continued improvement of sprinter abi oyepitan and long jumper chris tomlinson also boosted team gb. sadly  the 2004 olympics did not escape the problems of drugs misuse. on the eve of the games  greek sprinters kostas kenteris and katerina thanou missed a drugs test and claimed to have been involved in a road crash.  kenteris  the 200m champion in 2000  and thanou have since been charged by the greek authorities and await trial. at the games  adrian annus (hammer)  robert fazelas (discus) and irina korzhanenko (shot) were all stripped of their titles because of doping issues. hungarian compatriots annus and fazelas both refused to give urine samples while russian korzhanenko tested positive for the steroid stanozolol.  the fallout from the thg scandal  which rocked the sport in 2003  continued to impact in olympic year. britain s 4x100m team took gold without the services of dwain chambers  who was handed a two-year ban in february after testing positive for steroid thg.  american kelli white was suspended and stripped of her world 100m and 200m titles after failing a drugs test. and world 400m champion jerome young landed a life ban from us chiefs after a second doping offence. russian pole vaulter yelena isinbayeva provided some light relief by smashing the world record seven times on her way to the world indoor and olympic titles. her rivalry with compatriot svetlana feofanova livened up the field events. morocco s hicham el guerrouj also delighted fans by racing to a historic olympic double in the 1500m and 5 000m.  and though there was no paula radcliffe in the london marathon  there was plenty of drama as kenyans evans rutto and margaret okayo took the titles. rutto held on to win despite slipping on some cobblestones and tumbling into a barrier. okayo also had to battle back after mistiming her tactics but clinched victory on her debut.,3
tech,honour for uk games maker leading british computer games maker peter molyneux has been made an obe in the new year honours list.  the head of surrey s lionhead studios was granted the honour for services to the computer games industry. mr molyneux has been behind many of the ground-breaking games of the last 15 years such as populous  theme park  dungeon keeper and black and white. he is widely credited with helping to create and popularise the so-called god-game genre.  speaking to the bbc news website mr molyneux said receiving the honour was something of a surprise. it s come completely out of the blue   he said   i never would have guessed that i d have that kind of honour.  he said he was surprised as much because  not too long ago  many people thought computer gaming was a fad.   it was thought to be like skateboarding   he said   a craze that everyone thought would go away.  now  he said  the gaming world rivals the movie industry for sales and cultural influence.  britain plays a big part in it   he said.  it s one of the founding nations that made the industry what it is.  mr molyneux has been a pivotal figure in the computer games industry for almost 20 years. his career started at bullfrog studios which in 1987 produced populous one of the first god-games. the title gave players control over the lives a small population of computerised people. mr molyneux said that his involvement with the games industry started almost by accident as back in the early days game making was more a hobby than a career.  i thought everyone would treat populous as weird   he said   but it became a huge international success.  he left bullfrog in 1997 to set up lionhead studios which was behind the ambitous and widely acclaimed game black & white. one of the next titles to come from lionhead puts players in charge of a movie studio and tasks them with producing and directing a hit film. the veteran game maker says he has one problem still to solve.  being an absolute geek i ve got no idea what i m going to wear when i go and pick it up   he said.,4
business,us to probe airline travel chaos the us government is to investigate two airlines- us airways and delta air lines  comair subsidiary - after travel chaos over the christmas weekend.  staff calling in sick at us airways and computer failures at comair left 30 000 passengers stranded and 10 000 pieces of baggage undelivered. us airways is in chapter 11 bankruptcy protection for the second time in two years  and battling to cut costs. it is currently trying to negotiate pay cuts with flight and baggage staff.  transportation secretary norman mineta said he was  deeply concerned  at the disruption to passengers  and ordered a thorough investigation. comair s computer breakdown plunged its flight-crew scheduling system into disarray. altogether  some 1 100 flights were cancelled over the holiday long weekend. mr mineta said it was important to understand  what happened  why it happened and whether the carriers properly planned for the holiday travel period and responded appropriately to consumer needs in the aftermath .  adding to the atmosphere of chaos were mountains of luggage left to pile up when a third of us airways  baggage handling staff called in sick. there was also a shortage of us airways flight attendants  with nearly a fifth saying they were too sick to work  leading to many flight cancellations. however  union officials denied there had been a deliberate  sickout . they said that many people have flu at this time of year and that the airline is chronically understaffed.  us airways ended up cancelling over 100 flights on christmas day  stranding passengers in as many as 119 airports. ground crews at us airways  the seventh-largest us airline  which is now in chapter 11 bankruptcy protection  face a court-imposed pay cut next month. the airline needs to negotiate other paycuts if it is to find a route out of bankruptcy. it is looking for paycuts totalling $800m.   us airways has a full-scale employee mutiny on its hands   commented michael boyd  an industry consultant. disruptions to flight schedules could discourage customers from flying with us airways  reducing revenues. us airways had to cancel approximately 65 flights on thursday  180 on friday  140 on saturday  43 on sunday and 15 on monday  said industry officials. the airline said it was  embarrassed by the situation  and  deeply regrets any inconvenience caused to customers   the probe will focus on the industry s compliance with a 1999 agreement aimed at improving the quality of passenger service that has so far allowed airlines to avoid congressionally-mandated standards. analysts said the christmas chaos cast doubt on us airway s ability to emerge from bankruptcy - and was likely to worsen the finances of troubled delta  parent of comair. comair  deeply regrets the inconvenience to all of our customers caused by the severe winter storm in the ohio river valley during the busy holiday season  exacerbated by problems with the airline s crew scheduling system  causing additional flight delays and cancellations   the delta subsidiary said in a statement.,0
politics,blair sees greater bush consensus george w bush will display a more consensual approach to world politics as he begins his second term as us president  tony blair has said.  the prime minister said mr bush had learned military force was not the only way to fight terrorism. he understood that  the best prospect of peaceful co-existence lies in the spread of democracy and human rights   mr blair told the guardian newspaper. mr bush was sworn in at a ceremony in washington dc on thursday.  echoing the new us secretary of state condoleezza rice  the prime minister said there has been a clear evolution of us policy since the war in afghanistan in 2001. mr blair had personally seen the change over time in conversations with mr bush. the president understood that while military and security measures were important  there also needed to be a multilateral approach to solving the world s problems.  turning to critics  fears that the us was poised for further military action  mr blair refused to give succour to suggestions it was preparing for strikes against iran. the prime minister conceded that the us had  what appears to be a harder position  towards the state than europe. but the prime minister pointed out that until now the us had allowed britain  france and germany to take the lead in trying to halt the iranian nuclear programme. following claims that us forces had worked inside iran to identify potential targets  mr blair was asked if the sas had also been in the country.  we never answer questions about special forces  but do not take that as indicating an affirmative   said mr blair.  mr blair said he believed the president was keen to work with other countries while trying to spread democracy and human rights.  it is significant  in my view  that he is coming to europe as his first foreign visit   said mr blair. following his inauguration  mr bush is due in europe at the end of january.,2
entertainment,dame julie pops in to see poppins mary poppins star dame julie andrews watched the hit stage version of her classic film at a charity performance in london s west end.  it was the first time dame julie  who shot to fame as the nanny in the 1964 disney movie  had seen the musical  staged at the prince edward theatre. she watched laura michelle kelly  23  reprise the role on stage. the show has been one of the west end s hottest tickets since opening in december  winning two olivier awards. kelly was named best musical actress at last month s ceremony and the musical also won best choreography.  but kelly said she was  very nervous  about meeting dame julie because she was  my absolute hero . the gala performance saw dame julie  69  return to the theatre where she had her first starring role in a performance of humpty dumpty in 1948. the mary poppins musical has been masterminded by theatre impresario sir cameron mackintosh and directed by richard eyre with choreography by matthew bourne. sir cameron said he hoped the production  which cost £9m to bring to the stage  was a blend of the sweet-natured film and the original book by pl travers. proceeds from thursday s show will go to charities including absolute return for kids (ark)  international relief agency operation usa and drama school lamda.,1
business,iraq and afghanistan in wto talks the world trade organisation (wto) is to hold membership talks with both iraq and afghanistan.  but iran s bid to join the trade body has been refused after the us blocked its application for the 21st time. the countries stand to reap huge benefits from membership of the group  whose purpose is to promote free trade. joining  however  is a lengthy process. china s admission in 2001 took 15 years and talks with russia and saudi arabia have been taking place for 10 years. membership of the geneva-based wto helps guarantee a country s goods receives equal treatment in the markets of other member states - a policy which has seen it become closely associated with globalisation.  iraq s trade minister mohammed mustafa al-jibouri welcomed the move  describing it as significant as november s decision by the paris club of creditor nations to write off 80% of the country s debts. assad omar  afghanistan s envoy to the united nations in geneva  said accession would contribute to  regional prosperity and global security . there are now 27 countries seeking membership of the wto. prospective members need to enter into negotiations with potential trading countries and change domestic laws to bring them in line with wto regulations. before the process gets under way  all 148 wto members must give their backing to applicant countries. the us said it could not approve iran s application because it is currently reviewing relations. but several nations criticised the approach  and european union ambassador to the wto  carlo trojan  said iran s application  must be treated independently of political issues .,0
business,green reports shun supply chain nearly 20% more uk top 250 firms produced non-financial reports on social and environment issues than last year.  but of the 145 companies reporting  76% didn t examine their supply chains  says the annual directions survey. green groups say putting pressure on supply chains is a major way companies can reduce their environmental impact. the survey is published by corporate social responsibility firm context and branding firm salterbaxter.  blake lee-harwood  campaigns director at greenpeace in the uk  said:  it s fairly meaningless to talk about your company s direction in terms of sustainability without having detailed knowledge of your supply chain.  it s also important to get some kind of independent assessment of your reporting.   less than a quarter of companies (24%) get their corporate social responsibility (csr) reports independently verified to provide assurances they are accurate and complete  says the survey. to date there are no set standards for non-financial reporting  although the global reporting initiative  an independent pro-sustainability institution  is planning to establish some. the reports surveyed by directions are published voluntarily. they are usually called corporate social responsibility (csr) reports  sustainability reports  or social and environmental reports.  peter knight  director of context  says 24 uk top 250 companies reported for the first time this year and  in general  the quality of reports has improved.  the corporate lexicon of homilies  generalities and soft assurances - fluff - is on its way out. there are less pictures of smiling children and butterflies.  the uk government will soon require all quoted companies to report their social and environmental risks in a chapter in their annual reports  called the operating and financial review. the regulation is not expected until 2005 and the first reports under this scheme will not be published before 2006. the us seems to lag europe in producing corporate social responsibility reports. the majority of european top 50 companies (44) publish them and only 27 of the us top 50.,0
politics,brown ally rejects budget spree chancellor gordon brown s closest ally has denied suggestions there will be a budget giveaway on 16 march.  ed balls  ex-chief economic adviser to the treasury  said there would be no spending spree before polling day. but mr balls  a prospective labour mp  said he was confident the chancellor would meet his fiscal rules. he was speaking as sir digby jones  cbi director general  warned mr brown not to be tempted to use any extra cash on pre-election bribes.  mr balls  who stepped down from his treasury post to stand as a labour candidate in the election  had suggested that mr brown would meet his golden economic rule -  with a margin to spare . he said he hoped more would be done to build on current tax credit rules.  he also stressed rise in interest rates ahead of an expected may election would not affect the labour party s chances of winning. expectations of a rate rise have gathered pace after figures showed house prices are still rising. consumer borrowing rose at a near-record pace in january.  if the mpc (the bank of england s monetary policy committee) were to judge that a rate rise was justified before the election because of the strength of the economy - and i m not predicting that they will - i do not believe that this will be a big election issue in britain for labour   he told a parliamentary lunch.  this is a big change in our political culture.   during an interview with bbc radio 4 s today programme  mr balls said he was sure mr brown s budget would not put at risk the stability of the economy.  i don t think we ll see a pre-election spending spree - we certainly did not see that before 2001   he said.  his assurances came after sir digby jones said stability was all important and any extra cash should be spent on improving workers  skills. his message to the chancellor was:  please don t give it away in any form of electioneering.  sir digby added:  i don t think he will. i have to say he has been a prudent chancellor right the way through. stability is the key word - british business needs boring stability more than anything.  we would say to him  don t increase your public spending  don t give it away. but if you are going to anywhere  just add something to the competitiveness of britain  put it into skilling our people .  that would be a good way to spend any excess.   mr balls refused to say whether mr brown would remain as chancellor after the election  amid speculation he will be offered the job of foreign secretary.  i think that gordon brown wants to be part of the successful labour government which delivers in the third term for the priorities of the people and sees off a conservative party that will take britain backwards   mr balls told today. prime minister tony blair has yet to name the date of the election  but most pundits are betting on 5 may.,2
business,khodorkovsky quits yukos shares jailed tycoon mikhail khodorkovsky has transferred his controlling stake in oil giant yukos to a business partner.  mr khodorkovsky handed over his entire 59.5% stake in holding company group menatep - which controls yukos - to leonid nevzlin. a close ally of the ex-yukos boss  mr nevzlin is currently based in israel. mr khodorkovsky handed over his stake after the forced sale of yukos  core oil production unit  yuganskneftegaz to pay a giant tax bill.  yuganskneftegaz was sold off at auction in december last year  eventually falling into the hands of state oil firm rosneft in a deal worth $9.4bn (£5bn).  since the sale of yuganskneftegaz  i have been delivered of (all) responsibility for the business that remains and the group s money as a whole   mr khodorkovsky said.  it is all over. as before  i see my future in public activity to build a civil society in russia.  mr nevzlin is yukos  largest shareholder but is living in self-imposed exile in israel. yuganskneftegaz pumps around 1 million barrels of oil a day. it was sold by the russian authorities to recover government tax claims against yukos totalling over $27bn. previously considered to be russia s richest man  with an estimated fortune of $15bn  mr khodorkovsky is currently on trial for fraud and tax evasion following his arrest in october 2003. however  the charges are widely seen as politically motivated and part of a drive by russian president vladimir putin to rein in the country s super-rich business leaders  the so-called oligarchs. it is also believed that mr khodorkovsky was particularly targeted because he had started to bankroll political opponents of mr putin.,0
entertainment,global release for japan hit film oscar-winning animator hayao miyazaki s latest film  howl s moving castle  is to be released in 50 countries around the world  its distributor has said.  howl s moving castle set a japanese box office record last week  taking 1.5bn yen (£7.7m) in its first two days. miyazaki won an oscar earlier this year for spirited away  japan s first academy award for nearly 50 years. howl s moving castle is based on a children s fantasy novel by uk author diana wynne jones. it tells the story of an 18-year-old woman who ages dramatically after falling under a witch s spell. she heads to a moving castle kept by howl  a wizard  and searches for a way to become normal again. a spokesman for distributor toho said the film  has received strong interest from domestic audiences and foreign media and viewers alike .  we have a good feeling about this film. we saw very good viewer response   he added. the film s worldwide release will start in south korea on 24 december  and france on 12 january.,1
politics,blair congratulates bush on win tony blair has said he looks forward to continuing his strong relationship with george bush and working with him during his second term as president.  mr bush s re-election came at a crucial time for a world that was  fractured  divided and uncertain   mr blair said. it had to be brought together  he added  saying action was needed on poverty  the middle east and the conditions on which terrorists prey. mr blair said states had to work with the us to fight global terrorism.  but there was a need to recognise it would not be defeated by  military might alone but also by demonstrating the strength of our common values  he added. solving the conflict in the middle east was the world s single most  pressing political challenge  of the present day  mr blair warned. the prime minister also urged europe and the us to  build anew their alliance .   all of us in positions of leadership  not just president bush  have a responsibility to rise to this challenge. it is urgent that we do so.  mr blair also paid tribute to democrat john kerry s campaign  saying he had helped make the presidential election  a true celebration of american democracy . the election of the us president was significant for the world but particularly so for britain because of its special relationship  he added. earlier tory leader michael howard sent mr bush his  warmest congratulations   saying:  we look to the president to be a unifying force for those all over the world who share our determination to defend freedom.  liberal democrat leader charles kennedy welcomed the fact there had been a quick conclusion to the election  unlike in 2000.  mr bush s first task was to  rebuild a sense of domestic purpose  within the us  he said. mr kennedy said:  internationally  it is to be hoped that a second term will see a more sensitive approach to relations with long-standing allies  not least for the global efforts to combat terrorism.  lib dem foreign affairs spokesman menzies campbell said a win by mr kerry would have given mr blair the chance of a fresh start  adding it was almost as if there was an  umbilical cord  between mr bush and the uk premier.   europeans must hope that his administration will be much more multilateral in character  and that he will act swiftly to rebuild the atlantic partnership which is so vital to security.  iraq will remain an issue of potential division for some time to come.  even before the result became clear  mr blair was being urged to push for action on climate change at his first meeting with whichever candidate won.  liberal democrat environment spokesman norman baker underlined the issue of global warming during a commons debate on anglo-american relations on wednesday. environment secretary margaret beckett has said the us will act on global warming despite george bush s refusal to sign up to the kyoto protocol on carbon emissions. public opinion would force change  she told bbc news. but myron ebell  an adviser on climate change to president bush  has said there would be no change in the us stance and rejected the threat of climate change. he claimed the us was the only country with independent scientists.,2
business,egypt to sell off state-owned bank the egyptian government is reportedly planning to privatise one of the country s big public banks.  an investment ministry official has told the reuters news agency that the bank of alexandria will be sold sometime in 2005. the move is seen as evidence of a new commitment by the government to reduce the size of public sector. the official said the government has not yet decided whether the sale will take the form of a public flotation.  the most important thing to decide now is the method - whether by selling shares to the public or to a strategic investor from abroad   he said.  analysts say the public-sector banks have suited the government s monetary  credit and exchange policies. nevertheless  the egyptian government has spoken for years about privatising one of the big four state banks - banque misr  national bank of egypt  banque du caire and bank of alexandria. it had been expected one of the smallest of the four big public banks - bank of alexandria or banque du caire - would be sold first. the announcement reinforces the hopes of investors and international financial bodies for a revival of egypt s privatisation programme. about 190 state-run companies and facilities were sold off from the early 1990s to 1997. the appointment of mahmoud mohieldin  a reform-minded technocrat  to the new post of investment minister in july was taken as a sign that more sell-offs were on the way. both the imf and world bank have urged egypt to remove obstacles to the development of the private sector which they say has a vital role to play in reducing poverty by expanding the economy.,0
politics,tories attack burglar  u-turns  tory leader michael howard has accused tony blair of performing u-turns over rules on using force against burglars.  the government has ruled out amending the present law  which allows  reasonable force  in self defence. mr howard branded the decision unacceptable  saying:  it is not householders who should be frightened  it s the burglars.  home secretary charles clarke said ministers had kept to their pledge to review the law.  metropolitan police commissioner sir john stevens last month backed a tory attempt to change the law so only householders using  grossly disproportionate  force could be prosecuted. the pressure prompted the prime minister to say the police and crown prosecution service would be consulted as part of a review of the law. he told mps:  if we get the right response from those people  we will  of course  support a change in the law.  instead  the government has decided no change is needed but there will be a publicity campaign so people are clear they are entitled to defend themselves. on thursday  mr howard told bbc radio 4 s today programme mr blair had initially refused the law change  then had come round to the idea and was now backtracking again. he said:  we ve had three policy positions in three months and two u-turns.  it s not surprising gordon brown told him:  there s nothing you could say to me now that i could ever believe.    mr howard said the  grossly disproportionate  test matched the hurdle ministers had introduced for civil cases where burglars where claimed compensation from householders. the issue entered the public spotlight when norfolk farmer tony martin was jailed for shooting dead a 16-year-old burglar in 1999 as he ran away from the farm. but the home secretary said mr howard was wrong to say the law was biased in favour of burglars. the barrister who had represented mr martin had said the rules were  weighted overwhelmingly  in favour of the householder  said mr clarke. he said:  the problem is there has not been enough understanding of it - that was the point sir john stevens was making and the prime minister was making.  the new guidance would help ensure clarity on the issue  added mr clarke. the director of public prosecutions  ken macdonald  says only 11 householders or occupiers of business premises have been prosecuted in the last 15 years. those cases included a warehouse manager who had waited for a burglar  tied him up  beat him and set him alight  he said. tory mp patrick mercer s private member s bill to change the law received a first reading in parliament on wednesday and goes to a full debate next month.,2
tech,apple makes blogs reveal sources apple has won its legal fight to make three bloggers reveal who told them about unreleased products.  the bid to unmask the employees leaking information was launched in december 2004 following online articles about apple s asteroid product. now apple has won the right to see e-mail records from the three bloggers to root out the culprit. a lawyer for the three bloggers said the ruling set a dangerous precedent that could harm all news reporters.  apple s lawsuit accused anonymous people of stealing trade secrets about the asteroid music product and leaking them to the powerpage  apple insider and think secret websites. all three are apple fan sites that obsessively watch the iconic firm for information about future products. apple is notoriously secretive about upcoming products which gives any snippets of information about what it is working on all the more value. the lawsuit to reveal the names of the leakers was filed against the power page and apple insider sites.  the separate legal fight with think secret has yet to be resolved. in the ruling handed down this week by santa clara county superior court judge james kleinberg  apple can now get its hands on e-mail records from the bloggers  net providers. in making his ruling  judge kleinberg said that laws covering the divulging of trade secrets outweighed considerations of public interest. california has so-called  shield  laws which protect journalists from prosecution if what they are writing about can be shown to be in the public interest. the judge wrote:  ...it is not surprising that hundreds of thousands of  hits  on a website about apple have and will happen. but an interested public is not the same as the public interest . judge kleinberg said the question of whether the bloggers were journalists or not did not apply because laws governing the right to keep trade secrets confidential covered journalists  too. the electronic frontier foundation  which is acting as legal counsel for power page and apple insider  said the ruling had potentially wide implications.  anyone who reports on companies or the trade press should be concerned about this ruling   said eff lawyer kurt opsahl. mr opsahl said the eff was planning to appeal against the ruling because the bloggers were journalists and us federal laws stop net firms handing over copies of e-mail messages if the owner of that account does not give their consent.,4
sport,davenport puts retirement on hold lindsay davenport has put any talk of retirement on hold after having a largely injury-free 2004 campaign.  the 28-year-old world number one had said that she would quit at the end of last year  but after a successful season she has had a change of heart.  finally i felt i put myself in a position to try and win grand slams again   said davenport.  it would be tough to walk away when i feel like i can contend so there s no point in hanging it up quite yet.  davenport has won three grand slams  the 2000 australian open  wimbledon in 1999 and the 1998 us open. her career has been hit by a series of injuries but last year she started hitting top form and won seven titles. she was due to take part in this week s hopman cup in perth but decided she wanted to rest her knee.  i just really wanted to make sure my right knee was going to be able to really withstand all the rigours of the whole year coming up   she said.,3
politics,hunt ban support is  in decline  support for a ban on hunting has fallen in the past six years  a poll suggests.  less than half the uk wants a ban compared to almost two-thirds in 1999  the mori survey of 2 000 adults for bbc one s countryfile programme suggests. the number opposed to a ban remains constant  but those  neither supporting nor opposing  has increased by 11%. most city-dwellers support the ban but rural people were evenly split between supporters  opponents and undecided.  polling company mori carried out both surveys. in july 1999 they asked 801 adults if they supported the ban for the mail on sunday. for countryfile they asked 2 234 adults across the country the same question. the mail on sunday survey found that 63% supported a hunting ban compared with 24% against. in the countryfile survey  47% said they supported the legislation  with 26% against. but the programme makers suggest the british public are becoming  increasingly neutral  to the issue because around one quarter said they  neither support nor oppose  a ban.,2
entertainment,csi shows give  unrealistic view  people have unrealistic expectations of forensic science thanks to the success of the csi tv shows  real experts say.  evidence submitted to forensic labs has shot up as a result of the programmes  at a time when many have large backlogs  science investigators claim. lawyers also fear the effect because jurors have a distorted view of how forensic evidence is used. the issue was discussed at a major science conference in washington dc. crime scene investigation (csi) and its spin-offs  csi: miami and csi: new york  have proven exceptionally popular with audiences on both sides of the atlantic.  each episode  a team of forensic investigators goes about solving a crime through the ingenious appliance of science - and the extensive resources at their disposal.  the csi effect is basically the perception of the near-infallibility of forensic science in response to the tv show   said max houck  who runs a forensic science graduate course at west virginia university  us.  this tv show comes on and everyone starts watching it - including the cops and prosecutors - and submissions to forensic laboratories go through the roof   he told the annual meeting of the american association for the advancement of science (aaas). the american forensics expert said there were roughly 200 000-300 000 backlogged dna samples in us labs. yet these constituted just 10% of the total test backlog  said dr houck. forensic pathologist dr patricia mcfeeley said she had started to see the show s influence in dealing with the families of victims.  what i find is that families now are more dissatisfied with the investigation than was previously the case   she explained.  for example  on television  the toxicology results are available almost instantaneously. but when people find out that it can take several months  they can find that very difficult.   dr mcfeeley added that the accuracy with which forensic investigators can determine time of death was far lower than most people s perceptions. the show s influence can follow forensic investigators all the way into the courtroom  making lawyers jittery.  prosecutors fear the csi effect with juries because  for example  they wonder:  why wasn t everything tested   well  in fact  not everything needs to be tested   dr houck explained.  defence attorneys also worry about the csi effect because they think that jurors come in and have this view of science as a juggernaut; this objective method that s always accurate.  however  he admitted the show had had positive as well as negative effects on the field.  my university course started with four graduates in 1999; we re now the largest major on campus - with 400 students   he said. dr houck added that there was an urgent need for better funding of forensic science at the university level:  there s more money spent in this country on holistic medicine than there is on forensic science research.,1
politics,nuclear dumpsite  plan attacked plans to allow foreign nuclear waste to be permanently stored in the uk have been branded  deeply irresponsible  by the liberal democrats.  the government has confirmed intermediate level waste (ilw) that was to have been shipped back to its home countries will now be stored in the uk. the cash raised will go towards the uk s nuclear clean-up programme. but lib dem norman baker accused ministers of turning britain into a  nuclear dumpsite .  under current contracts  british nuclear fuels should return all but low level waste  but none has ever been sent back. in future  only highly-radioactive waste will be sent back to its country of origin  normally germany or japan  under armed guard. intermediate waste from countries such as japan  germany  spain  italy  switzerland and sweden will be stored permanently in the uk. at the moment  this waste is stored at sellafield  in cumbria  in the form of glass bricks  untreated liquid waste or solid material in drums. in a statement  the department of trade and industry said the new policy meant there would be a  sixfold reduction in the number of waste shipments to overseas countries . and it said highly-radioactive waste would be returned to its home country sooner  ensuring there would be no overall increase in radioactivity.  trade secretary patricia hewitt said the new arrangements  revealed in a commons written statement  would raise up to £680m for britain s nuclear clean-up programme  under the new nuclear decommissioning agency. but the move has been criticised by environmental groups and the liberal democrats. mr baker  the lib dem environment spokesman  said:  i have been warning for months that this would happen and raised it with government several times. but now our worst fears have been confirmed.  once again britain s environmental and health needs are being ignored in policies driven by the treasury and dti.  this is a terrible attempt to offload some of the £48bn cost of cleaning up nuclear sites.  the energy act was supposed to help britain clean up  but in order to pay for it we are becoming a nuclear dumpsite.  the nuclear industry is an economic  social and environmental millstone that hangs around britain s neck.,2
